title,company,location,description,salary_min,salary_max,redirect_url
Software Engineer-Artificial Intelligence (Artificial Intelligence),The Boeing Company,"Kinloch, Saint Louis County","Job Description At Boeing, we innovate and collaborate to make the world a better place. We're committed to fostering an environment for every teammate that's welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us. The Boeing Company is seeking a Software Engineer - Artificial Intelligence to join the Air Proprietary 2 (AP2) team located in Berkeley, MO . This position will focus on supporting the Boeing Defense, Space & Security (BDS) busi…",118634.95,118634.95,https://www.adzuna.com/land/ad/5609499782?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=2A9D919EC701D904F7E9E18A9810301BC489628A
Artificial Intelligence Strategist,Cognizant,"International, King County","Artificial Intelligence Strategist Location: US About the Role The AI Strategist plays a pivotal role in shaping Cognizant's AI portfolio by designing high impact AI use cases, building compelling value propositions, and enabling early-stage client engagement. Sitting at the intersection of business design, AI capability, and industry needs, this role transforms opportunity spaces into structured, scalable, commercially strong AI offerings that drive growth for the AI Market Unit. Impact AI use…",164538.45,164538.45,https://www.adzuna.com/land/ad/5618584282?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=860CE5089C3BA4CF32E41F822BF72ABE1A3BB10E
Artificial Intelligence Leader,"Sensata Technologies, Inc.","Attleboro, Bristol County","The Artificial Intelligence Leader at Sensata will lead our enterprise-wide AI strategy and initiatives, driving innovation and transformation across all business functions-including engineering, manufacturing, supply chain, commercial, and corporate operations-within a global manufacturing and technology organization. This role is responsible for shaping and executing AI strategies that deliver scalable solutions and measurable impact, leveraging industrial and enterprise data to unlock new ef…",114973.64,114973.64,https://www.adzuna.com/land/ad/5502425839?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=E1D803B4AB6EAFDC5B38ECBC12083E5C61E775E8
Artificial Intelligence Engineer,Allegion,"Carmel, Hamilton County","Creating Peace of Mind by Pioneering Safety and Security _At Allegion, we help keep the people you know and love safe and secure where they live, work and visit. With more than 30 brands, 12,000 employees globally and products sold in 130 countries, we specialize in security around the doorway and beyond. Additionally, in 2024 we were awarded the Gallup Exceptional Workplace Award, which recognizes the most engaged workplace cultures in the world._ We are seeking an Applied AI Engineer with str…",109078.59,109078.59,https://www.adzuna.com/land/ad/5612610378?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=7F57A4FAF7BDE211739B6DA63DD2279F10A26295
Artificial Intelligence Engineer with Security Clearance,Shield Consulting Solutions,"Annapolis, Anne Arundel County","Active TS/SCI w/Polygraph REQUIRED Please do not apply if you do not currently possess this level of clearance.  Telework: Up to 2 days per week Job Description: * The AI Engineer will work closely with system and software engineers to design, prototype, and integrate AI advancements into the existing RAD architecture. * This is a transformative position focused on building solutions that augment human intelligence, streamline workflows, and enhance the overall effectiveness of intelligence ope…",189153.53,189153.53,https://www.adzuna.com/land/ad/5626634209?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=D68FFC8320134665892A9D21F2EDD4623B4CE4A7
Research Intern - Artificial Intelligence,Microsoft Corporation,"Redmond, King County","Overview Research Internships at Microsoft provide a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers, who pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, computer science, mathematics, economics, physics, healthcare, and the environment. Microsoft Research Asia - Vancouver lab (https://www.microsoft.com/en-us/resea…",74324.37,74324.37,https://www.adzuna.com/land/ad/5505984989?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=69755B1CE044CCF81D8E1A3C7A3C285B4AF80913
"Director, Artificial Intelligence - Hybrid","XPO, Inc.","Boston, Suffolk County","Director, Artificial Intelligence - Hybrid Requisition Id: 377755 Business Unit: Corporate Location: Boston, MA, US, 02111 What you'll need to succeed as a Director, Artificial Intelligence at XPO: Minimum Qualifications:  Bachelor's degree or equivalent related work or military experience  7 years of data science, operations research and/or software engineering experience in Artificial Intelligence and Machine Learning with a proven track record of building and deploying AI models.  5 years of…",125650.98,125650.98,https://www.adzuna.com/land/ad/5618319025?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=DA64B9CEE11925A6FD4625D547AAE852910A6CAA
"Director, Data & Artificial Intelligence","Equity Bancshares, Inc.","Andover, Butler County","Jump start your career at Equity Bank! We are currently hiring energetic, team oriented, and community focused individuals to join our team! With a team of best-in-class customer service experts, youll help to build and expand on client relationships, deliver the banking products and services that meet the unique and individual needs of clients, and create and uphold an atmosphere of superior experience and service. At Equity Bank we’ll help you invest in your community through volunteer opport…",129598.78,129598.78,https://www.adzuna.com/land/ad/5629612051?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=8AC02F6167CF8C41EBA09A58C7467D6FBF4B12E9
Artificial Intelligence Engineering Manager,Bank of America,"Charlotte, Mecklenburg County","Artificial Intelligence Engineering Manager Charlotte, North Carolina;Addison, Texas To proceed with your application, you must be at least 18 years of age. Acknowledge Refer a friend To proceed with your application, you must be at least 18 years of age. Acknowledge (https://ghr.wd1.myworkdayjobs.com/Lateral-US/job/Charlotte/Artificial-Intelligence-Engineering-Manager\_25047779) Job Description: At Bank of America, we are guided by a common purpose to help make financial lives better through t…",121498.23,121498.23,https://www.adzuna.com/land/ad/5535409547?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=8C2DEA4DC430993449F7C7B2149A37750C06D8A5
Artificial Intelligence Lead (Engineer),Cushman & Wakefield,"Westwood, Saint Louis County","Job Title Artificial Intelligence Lead (Engineer) Job Description Summary The AI Strategic Engineering Specialist is a visionary technologist responsible for architecting, engineering, and operationalizing next generation AI systems that transform how C&W supports Global Occupier clients. This role sits at the intersection of advanced AI/ML engineering, real estate domain strategy, data platform architecture, and product innovation, owning the full lifecycle of intelligent automation and decisi…",171350.9,171350.9,https://www.adzuna.com/land/ad/5619907775?se=2nbSzFwL8RGyd9OpgCILHA&utm_medium=api&utm_source=31b863f3&v=769D47F0478A6EB6899EA32F09AE611E369D9303
